,Show,EpId,ClipId,Start,Stop,Prolongation,Block,Interjection,NoStutteredWords,Repetition,Non-Disfluency,Labels,Audio_name
0,HeStutters,0,0,31900320,31948320,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_0.wav
1,HeStutters,0,1,31977120,32025120,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_1.wav
2,HeStutters,0,2,34809760,34857760,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_2.wav
3,HeStutters,0,3,35200640,35248640,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_3.wav
4,HeStutters,0,4,35721920,35769920,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_4.wav
5,HeStutters,0,5,36435040,36483040,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_5.wav
6,HeStutters,0,6,37251200,37299200,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_6.wav
7,HeStutters,0,7,37784640,37832640,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_7.wav
8,HeStutters,0,8,37963520,38011520,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_8.wav
9,HeStutters,0,9,41417440,41465440,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_9.wav
10,HeStutters,0,10,41861760,41909760,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_10.wav
11,HeStutters,0,11,42928800,42976800,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_11.wav
12,HeStutters,0,12,43139360,43187360,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_12.wav
13,HeStutters,0,13,46154240,46202240,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_13.wav
14,HeStutters,0,14,49133440,49181440,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_14.wav
15,HeStutters,0,15,49411840,49459840,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_15.wav
16,HeStutters,0,16,51492320,51540320,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_16.wav
17,HeStutters,0,17,6970880,7018880,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_17.wav
18,HeStutters,0,18,8215200,8263200,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_18.wav
19,HeStutters,0,19,9985280,10033280,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_19.wav
20,HeStutters,0,20,11197600,11245600,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_20.wav
21,HeStutters,0,21,12275840,12323840,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_21.wav
22,HeStutters,0,22,12315840,12363840,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_22.wav
23,HeStutters,0,23,12567200,12615200,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_23.wav
24,HeStutters,0,24,15001760,15049760,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_24.wav
25,HeStutters,0,25,16317280,16365280,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_25.wav
26,HeStutters,0,26,3562240,3610240,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_26.wav
27,HeStutters,0,27,18732320,18780320,0,0,0,0,1,0,Repetition,HeStutters_0_27.wav
28,HeStutters,0,28,18902240,18950240,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_28.wav
29,HeStutters,0,29,19004000,19052000,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_29.wav
30,HeStutters,0,30,19927520,19975520,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_30.wav
31,HeStutters,0,31,21092480,21140480,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_31.wav
32,HeStutters,0,32,21147520,21195520,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_32.wav
33,HeStutters,0,33,25293440,25341440,1,0,0,0,0,0,Prolongation,HeStutters_0_33.wav
34,HeStutters,0,34,25822720,25870720,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_34.wav
35,HeStutters,0,35,26746400,26794400,0,0,0,1,0,0,NoStutteredWords,HeStutters_0_35.wav
